IMAGE_VERSION_1,IMAGE_VERSION_2,IMAGE_VERSION_3,year,season,productType,section,IMGName1,IMGName2,IMGName3,dominantColors
https://static.zara.net/photos///2024/V/0/3/p/5767/521/712/2/w/2048/5767521712_6_1_1.jpg?ts=1707751045954,https://static.zara.net/photos///2024/V/0/3/p/5767/521/712/2/w/2048/5767521712_6_2_1.jpg?ts=1707751045737,https://static.zara.net/photos///2024/V/0/3/p/5767/521/712/2/w/2048/5767521712_3_1_1.jpg?ts=1707751046435,2024,V,0.0,3.0,0_1_2024_V_0_3.jpg,0_2_2024_V_0_3.jpg,0_3_2024_V_0_3.jpg,"[[229 231 236]
 [ 94 105  96]
 [144 154 175]
 [196 200 210]
 [180 180 123]]"
https://static.zara.net/photos///2024/V/0/3/p/5536/532/658/2/w/2048/5536532658_6_1_1.jpg?ts=1710428896326,https://static.zara.net/photos///2024/V/0/3/p/5536/532/658/2/w/2048/5536532658_6_2_1.jpg?ts=1710428896373,https://static.zara.net/photos///2024/V/0/3/p/5536/532/658/2/w/2048/5536532658_3_1_1.jpg?ts=1710428894764,2024,V,0.0,3.0,1_1_2024_V_0_3.jpg,1_2_2024_V_0_3.jpg,1_3_2024_V_0_3.jpg,"[[100 122 170]
 [232 233 233]
 [169 184 213]
 [ 70  90 137]
 [126 149 197]]"
https://static.zara.net/photos///2024/V/0/1/p/2893/010/818/17/w/2048/2893010818_1_1_1.jpg?ts=1713965800221,https://static.zara.net/photos///2024/V/0/1/p/2893/010/818/17/w/2048/2893010818_2_1_1.jpg?ts=1713965805677,https://static.zara.net/photos///2024/V/0/1/p/2893/010/818/2/w/2048/2893010818_3_1_1.jpg?ts=1708506892071,2024,V,0.0,1.0,2_1_2024_V_0_1.jpg,2_2_2024_V_0_1.jpg,2_3_2024_V_0_1.jpg,"[[135 139 154]
 [ 75  75  85]
 [219 227 232]
 [ 47  41  52]
 [108 109 121]]"
https://static.zara.net/photos///2024/V/0/2/p/4432/475/922/2/w/2048/4432475922_6_1_1.jpg?ts=1710489196217,https://static.zara.net/photos///2024/V/0/2/p/4432/475/922/2/w/2048/4432475922_6_2_1.jpg?ts=1710489196510,https://static.zara.net/photos///2024/V/0/2/p/4432/475/922/2/w/2048/4432475922_3_1_1.jpg?ts=1710489197564,2024,V,0.0,2.0,3_1_2024_V_0_2.jpg,3_2_2024_V_0_2.jpg,3_3_2024_V_0_2.jpg,"[[ 37  35  34]
 [189 187 187]
 [ 54  51  48]
 [236 232 231]
 [113 114 114]]"
https://static.zara.net/photos///2024/V/0/2/p/0722/407/802/2/w/2048/0722407802_6_1_1.jpg?ts=1706778286656,https://static.zara.net/photos///2024/V/0/2/p/0722/407/802/2/w/2048/0722407802_6_2_1.jpg?ts=1706778287492,https://static.zara.net/photos///2024/V/0/2/p/0722/407/802/2/w/2048/0722407802_3_1_1.jpg?ts=1706778286615,2024,V,0.0,2.0,4_1_2024_V_0_2.jpg,4_2_2024_V_0_2.jpg,4_3_2024_V_0_2.jpg,"[[ 83  81  80]
 [242 237 236]
 [102  99  98]
 [153 149 148]
 [ 66  64  63]]"
https://static.zara.net/photos///2024/V/0/2/p/9621/451/406/2/w/2048/9621451406_6_1_1.jpg?ts=1708614924346,https://static.zara.net/photos///2024/V/0/2/p/9621/451/406/2/w/2048/9621451406_6_2_1.jpg?ts=1708614924551,https://static.zara.net/photos///2024/V/0/2/p/9621/451/406/2/w/2048/9621451406_3_1_1.jpg?ts=1708614926555,2024,V,0.0,2.0,5_1_2024_V_0_2.jpg,5_2_2024_V_0_2.jpg,5_3_2024_V_0_2.jpg,"[[138 132 114]
 [239 234 233]
 [191 185 170]
 [166 160 140]
 [ 96  91  80]]"
https://static.zara.net/photos///2023/I/0/3/p/2335/330/658/2/w/2048/2335330658_6_1_1.jpg?ts=1697035257419,https://static.zara.net/photos///2023/I/0/3/p/2335/330/658/2/w/2048/2335330658_6_2_1.jpg?ts=1697035256927,https://static.zara.net/photos///2023/I/0/3/p/2335/330/658/2/w/2048/2335330658_3_1_1.jpg?ts=1697035257225,2023,I,0.0,3.0,6_1_2023_I_0_3.jpg,6_2_2023_I_0_3.jpg,6_3_2023_I_0_3.jpg,"[[116 145 204]
 [231 231 231]
 [ 85 114 177]
 [ 28  49 110]
 [189 197 209]]"
https://static.zara.net/photos///2024/V/0/1/p/5536/006/712/2/w/2048/5536006712_1_1_1.jpg?ts=1706274640339,https://static.zara.net/photos///2024/V/0/1/p/5536/006/712/2/w/2048/5536006712_2_1_1.jpg?ts=1706274640085,https://static.zara.net/photos///2024/V/0/1/p/5536/006/712/2/w/2048/5536006712_3_1_1.jpg?ts=1706197134291,2024,V,0.0,1.0,8_1_2024_V_0_1.jpg,8_2_2024_V_0_1.jpg,8_3_2024_V_0_1.jpg,"[[ 75  99 140]
 [218 220 217]
 [ 27  38  44]
 [121 143 179]
 [ 53  70  82]]"
https://static.zara.net/photos///2024/V/0/3/p/3153/002/630/2/w/2048/3153002630_6_1_1.jpg?ts=1712070309964,https://static.zara.net/photos///2024/V/0/3/p/3153/002/630/2/w/2048/3153002630_6_2_1.jpg?ts=1712070310260,https://static.zara.net/photos///2024/V/0/3/p/3153/002/630/2/w/2048/3153002630_3_1_1.jpg?ts=1712070309147,2024,V,0.0,3.0,10_1_2024_V_0_3.jpg,10_2_2024_V_0_3.jpg,10_3_2024_V_0_3.jpg,"[[191 192 207]
 [113  86 242]
 [174 144 252]
 [ 49  18 214]
 [230 230 233]]"
https://static.zara.net/photos///2024/V/0/1/p/2910/009/051/17/w/2048/2910009051_1_1_1.jpg?ts=1710424540258,https://static.zara.net/photos///2024/V/0/1/p/2910/009/051/17/w/2048/2910009051_2_2_1.jpg?ts=1710424540535,https://static.zara.net/photos///2024/V/0/1/p/2910/009/051/2/w/2048/2910009051_3_1_1.jpg?ts=1709899261786,2024,V,0.0,1.0,11_1_2024_V_0_1.jpg,11_2_2024_V_0_1.jpg,11_3_2024_V_0_1.jpg,"[[205 209 208]
 [ 78 113 159]
 [113 149 190]
 [ 15  20  29]
 [142 167 202]]"
